id,name,description,category,base_en,base_tp,op_1_desc,op_1_en,op_1_tp,op_2_desc,op_2_en,op_2_tp,op_3_desc,op_3_en,op_3_tp,type,mechanic,percentage,duration,defense
227,Impassible Aura,"Create an area that has a 1 space radius. No creature can enter that space for the Power's duration, if the area is moved to occupy the same space as a creature then this Power ends.",Defense,13,2,,,,,,,,,,Power,false,false,false,
228,Power Resistance,Target gains +1 to overcome any Power that target's them.,Defense,6,2,+6 EN for each additional +1.,6,1,,,,,,,Power,false,false,false,
229,Power Damage Resistance,Target gains resistance to all damage dealt by Powers.,Defense,17,2,,,,,,,,,,Power,false,false,false,
230,Fall Resistance,Reduce target's fall damage by 1/2.,Defense,3,2,+4 EN to reduce fall damage to 0 instead.,4,1,,,,,,,Power,false,false,false,
231,Cylinder of Effect,25% EN: Add a cylinder of effect with a 1-space radius and a 2 space height centered on yourself or a point within range that you can see. The power affects all targets within this area. Roll one attack against all targets' relevant defense.,Area of Effect,1.25,0,25% EN: Increase the radius by +1 or to increase the height by 4.,0.25,0,,,,,,,Power,true,true,false,
232,Sphere of Effect,25% EN: Add a sphere of effect with a 1-space radius centered on yourself or a point within range that you can see. The power affects all targets within this area. Roll one attack against all targets' relevant defense.,Area of Effect,1.25,0,25% EN: Increase the radius by +1.,0.25,0,,,,,,,Power,true,true,false,
233,Trail of Effect,25% EN: Each space directly between you and this Power's target is affected for the Power's duration. A creature that begins its turn in one of these spaces must roll the relevant defense against your potency or become affected.,Area of Effect,1.25,2,,,,,,,,,,Power,true,true,false,
234,Pierce Targets on Path,Each object occupying a space between you and the Power's target takes 1d2 magic damage.,Area of Effect,2,2,#ERROR!,1,0,,,,,,,Power,true,false,false,
235,Add Multiple Targets,"Target an additional creature within range. Make one attack and damage roll, applying it to both targets, splitting the total damage between them. Any other power effects only target one of the chosen creatures.",Area of Effect,1,2,+1 EN For each additional target.,1,0,,,,,,,Power,true,false,false,
236,Expanding Area of Effect,"50% EN: At the end of your turn after the round in which Power was used, its area of effect increases 1 space in all directions.",Area of Effect,1.5,2,,,,,,,,,,Power,true,true,false,
237,Target One in an Area of Effect,"-25% EN: When you first use this Power and at the beginning of the turn the Power was used, you can choose one creature within its area of effect to target with the Power. The Power can only target and affect creatures in this way. You don't need to see a target to make it the target of the Power. Can only be applied to Powers with Area of Effect greater than one space",Area of Effect,0.75,2,,,,,,,,,,Power,true,true,false,
238,Exclude Area,You may choose to exclude certain parts within an area of effect of this Power from being affected.,Area of Effect,5,0,,,,,,,,,,Power,true,false,false,
239,True Magic Damage,Add +1 magic damage to the Power. Targets evasion by default.,Offense,1.5,2,1.5 EN for each additional +1 magic damage.,1,0.5,,,,,,,Power,false,false,false,
240,True Light Damage,Add +1 light damage to the Power. Targets fortitude by default.,Offense,1.5,2,+1.5 EN for each additional +1 light damage.,1.5,0.5,,,,,,,Power,false,false,false,
241,True Physical Damage,"Add one physical damage type to your Power (Piercing, Slashing, or Bludgeoning). This adds +1 of that type to the Power's damage. +1.5 EN for each additional 1 damage of this type dealt. +2 EN, +1 TP to apply more than one of these damage types to the Power (this cost does not increase the damage). Targets evasion.",Offense,1.5,2,+1.5 EN for each additional +1 damage of this type.,1.5,1,"2 EN, +1 TP to apply more than one of these damage types to the Power (this cost does not increase the damage).",2,2,,,,Power,false,false,false,
242,True Elemental Damage,"Add +1 elemental damage type to your Power (Fire, Ice, Lightning, or Acid). This automatically adds +1 to the Power's damage. +1.5 EN for each additional 1 damage of this type dealt. +2 EN, +1 TP to apply more than one element to the Power (this cost does not increase the damage). Targets evasion.",Offense,1.5,2,+1.5 EN for each additional +1 damage of this type.,1.5,1,"2 EN, +1 TP to apply more than one element to the Power (this cost does not increase the damage).",2,2,,,,Power,false,false,false,
243,True Poison or Necrotic Damage,Add 1 Poison or Necrotic damage targeting fortitude. +1.5 EN per each additional +1 damage of that type.,Offense,1.5,2,+1.5 EN per each additional +1 damage of that type.,1.5,1,,,,,,,Power,false,false,false,
244,True Sonic Damage,Add 1 Sonic damage targeting fortitude. +2 EN per each additional +1 sonic damage.,Offense,2,2,+2 EN per each additional +1 sonic damage.,2,1,,,,,,,Power,false,false,false,
245,True Spiritual Damage,Add 1 Spiritual damage targeting resolve. +2 EN per each additional +1 spiritual damage.,Offense,2,2,+2 EN per each additional +1 spiritual damage.,2,1,,,,,,,Power,false,false,false,
246,True Psychic Damage,Add 1 Psychic damage targeting mental fortitude. +2 EN per each additional +1 psychic damage.,Offense,3,2,+2 EN per each additional +1 psychic damage.,2,1,,,,,,,Power,false,false,false,
247,Controlled Damage,Split damage into additional dice of the same value. +1 EN for every additional die added.,Offense,1,2,+1 EN for every additional die added.,1,1,,,,,,,Power,false,false,false,
248,Long-Linger Damage,"Choose a damage type. Each round, the creature takes 1d2 damage of that type for at the beginning of each turn for the duration. Targets Fortitude for all damage types except Psychic, which targets Mental Fortitude. This part cannot have a duration of less than 2 rounds.",Offense,2.5,2,+2.5 EN for each additional +1d2.,2.5,1,,,,,,,Power,false,false,false,
249,Siphon,"Choose a damage type, target loses 1d2 Health, energy, or both as that damage. You decide how much to drain from each resource (Health/EN) after rolling and accounting for reductions, resistances & weaknesses. If one resource is insufficient, the siphon automatically draws from the other. At the end of the turn, you regain Health and/or EN equal to what was siphoned, with siphoned energy giving you energy, and health giving you health (up to 10 points gained total). This part cannot have a duration of more than 1 round. Targets Fortitude. You do not add your Power Attack Bonus to this Power's damage, and the damage is reduced by armor no matter the type.",N/A,3,2,#ERROR!,1.5,1,,,,,,,Power,false,false,false,
250,Damage Siphon,"When you damage a creature, you heal or regain energy at the end of the turn, equal to half the damage dealt (up to 10 points of Health/EN regained). This part cannot have a duration of more than one round.",Offense,4,2,+1 EN and +1 TP to increase the maximum regained by +2.,1,2,,,,,,,Power,false,false,false,
251,Power Infused Strike,Add your Power Bonus to the attack and damage rolls you make with a melee or ranged weapon that is part of this Power. You must be proficient with that weapon.,Offense,3,2,,,,,,,,,,Power,false,false,false,
252,Mend,"This Power repairs a single break or tear in an object, like a broken chain link, two halves of a shattered key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 30 centimeters in any dimension, you mend it seamlessly, leaving no trace of the prior damage. This can physically restore a damaged magic item but cannot reinstate any lost magical properties.",Creation,3,2,,,,,,,,,,Power,false,false,false,
253,Minorly Manipulate Air,"You generate a breeze strong enough to ripple fabric, stir dust, rustle leaves, and close open doors and shutters, all within a one-space cube. Doors and shutters that are held open by a person or object remain unaffected.",Creation,1,1,,,,,,,,,,Power,false,false,false,
254,Minorly Manipulate Earth,"You create a thin layer of dust or sand that spreads over surfaces in a one and a half meter square area, or you inscribe a single word in your handwriting in a patch of dirt or sand.",Creation,1,1,,,,,,,,,,Power,false,false,false,
255,Minorly Manipulate Water,"You conjure a spray of cool mist that lightly dampens creatures and objects within a meter and a half cube. Alternatively, you create one cup of clean water, either in an open container or on a surface, which evaporates after 1 minute.",Creation,1,1,,,,,,,,,,Power,false,false,false,
256,Minorly Manipulate Fire,"You produce a thin cloud of harmless embers and colored, scented smoke within a one space cube. You determine the color and scent, and the embers can ignite candles, torches, or lamps in the area. The smoke's fragrance lingers for 1 minute.",Creation,1,1,,,,,,,,,,Power,false,false,false,
257,Minorly Manipulate Elements,"You shape dirt, sand, fire, smoke, mist, or water that can fit within a 30-centimeter cube into a crude form (such as that of a creature), which holds its shape for 1 hour.",Creation,2,1,,,,,,,,,,Power,false,false,false,
258,Tremors,"The ground vibrates harmlessly in a rhythm or continuously, as you choose, within the entire range of the Power for one minute.",Creation,1,1,,,,,,,,,,Power,false,false,false,
259,Invisible Force,You instantly cause an unsecured door or window to burst open or slam shut or another harmless effect briefly manipulating a movable unsecured object.,Creation,2,1,,,,,,,,,,Power,false,false,false,
260,Detached Sound,"Create a sound that is localized at a point within range such as ominous voices, a birds crow, or the distant sound of thunder.",Creation,2,1,,,,,,,,,,Power,false,false,false,
261,Booming Voice,"Your voice amplifies to up to three times its normal volume for 1 minute. During this time, you gain +1 on Intimidation skill rolls using Charisma.",Creation,1,2,+1 EN to increase these skill rolls by +1.,1,1,,,,,,,Power,false,false,false,
262,Altered Eyes,Alter the color or appearance of your eyes for 1 minute.,Creation,1,1,,,,,,,,,,Power,false,false,false,
263,Flavor,Give a normal or somewhat unique flavor to up to one cubic half meter of food or liquid.,Creation,1,1,,,,,,,,,,Power,false,false,false,
264,Fire Manipulation,"You instantly ignite or extinguish a small flammable object such as a candle, torch, or small campfire.",Creation,1.5,1,,,,,,,,,,Power,false,false,false,
265,Plant Manipulation,"Slightly manipulate a plant by causing it to bud, bloom, grow a centimeter, wither slightly, change flower color to a different flower color or change leaf color to match a different season and so on.",Creation,1.5,1,,,,,,,,,,Power,false,false,false,
266,Chill or Warm,"Warm or chill up to one cubic half meter of material, food or liquid.",Creation,1,1,,,,,,,,,,Power,false,false,false,
267,Mark,"You cause a color, a small mark, or a symbol to manifest on an object or surface taking up no more than half a square meter for a duration of 1 hour.",Creation,1.5,1,,,,,,,,,,Power,false,false,false,
268,Clean or Soil,Instantly clean or soil an area no larger than half a cubic meter.,Creation,1,1,,,,,,,,,,Power,false,false,false,
269,Sensory Effect,"Create a harmless sensory effect, such as cascading leaves, ethereal dancing fairies, a soft breeze, the sound of an animal, or a faint scent, soft musical notes or another noise. The effect must fit within a 1 space cube.",Creation,1.5,1,,,,,,,,,,Power,false,false,false,
270,Tiny Creation,You conjure a non magical trinket or an illusory image that can fit in your hand. It remains until the end of your next turn. A trinket cannot deal damage and has no monetary value. It lasts 1 minute.,Creation,1.5,1,,,,,,,,,,Power,false,false,false,
271,Weather Sense,You know what the weather will be like within the next 24 hours within 5 kilometers.,Creation,3,2,,,,,,,,,,Power,false,false,false,
272,Understand Language,Understand all written and audible langugages for the duration.,Utility,4,2,,,,,,,,,,Power,false,false,false,
273,Tongues,Gain proficiency in a chosen language for the duration.,Utility,3,2,,,,,,,,,,Power,false,false,false,
274,Light,"Add bright light out to 2 spaces, with an additional 2 spaces of dim light. Bright light is considered unobscured, while dim light is lightly obscured for creatures relying on sight. If this is the only Power part, the light lasts for 1 minute. The light can linger on a person, object, or in range in the air depending on the Power.",Utility,1,2,+1 EN to increase bright and dim light by 2 spaces each.,1,1,,,,,,,Power,false,false,false,
275,Thought,"Add a simple thought, idea, or memory to the Power. Conditions for receiving or understanding this idea are set upon Power creation. A thought not delivered to a target can take small physical form to signify its presence in an area, lingering until a full recovery. This form cannot be larger than a one-space flat surface. +2 EN to increase the space it can occupy.",Utility,3,2,+2 EN to increase the space it can occupy to one cubic space or 1 additional space of flat surface.,2,1,,,,,,,Power,false,false,false,
276,Distant Message,"Send a message that only that creature can hear to any creature you are aware of that is at most 6 seconds of length. The creature can choose to block this Power's ability to send them messages after they receive the first message, creature's who do this cannot be contacted this way until they've had a full recovery or choose to allow messages.",Utility,15,2,,,,,,,,,,Power,false,false,false,
277,Breathe,"Target can breathe normally despite an environmental factor that would prevent it (e.g., underwater, a realm without air, or a water breathing-only creature without water). You must choose the environmental factor upon creating the Power.",Utility,2,2,,,,,,,,,,Power,false,false,false,
278,Ping,"Upon a set condition, you receive awareness of a specific event within the area where this Power is used (e.g., a rune being touched, a thought being received or read, a creature entering an area, or a creature succeeding/failing a potency roll from your Power). This effect persists in an area up to 1 space large until a full recovery.",Utility,3,2,+3 EN for this to last up to 30 days.,3,1,,,,,,,Power,false,false,false,
279,Audio,Add a sound to your Power. This sound can only cause damage if sonic damage is added. The sound is audible within a 6-space radius.,Utility,1.5,2,+0.5 EN for each additional 3 spaces of audition.,0.5,1,,,,,,,Power,false,false,false,
280,Create Food,Create enough rations for 1 creature to avoid malnutrition. The rations are bland but look how you'd like them to. The food spoils if uneated in 24 hours but remains in existence. This food has no currency value.,Creation,5,1,+4 EN For each additional ration.,4,1,,,,,,,Power,false,false,false,
281,Create Water,"Create up to 5 liters of clean water, enough to avoid dehydration for 1 creature. 5 liters of water can wet a creature or surface that occupies 1 space. If you attempt to douse a creature you target Reflex. The water created acts as normal water and does not go away when this Power ends.",Creation,2.5,1,+2.5 EN for each additional 5 liters.,2.5,1,,,,,,,Power,false,false,false,
282,Destroy Water,Destroy up to 5 liters of water. 5 liters of water can wet a creature or surface that occupies 1 space.,Creation,2.5,1,+2.5 EN for each additional 5 liters.,2.5,1,,,,,,,Power,false,false,false,
283,Create Object,Create a tiny mundane object worth nothing that can have a small or no effect or usefulness.,Creation,4,2,+2 EN for each 1 gold piece the object is worth.,2,1,+2 EN for each additional size the object is.,2,1,,,,Power,false,false,false,
284,Contact Divine,"Contact a divine being, it's servants, or another Powerful and knowledgeable being who is revered. The being must truthfully answer one question to the best of it's knowledge about events that will transpire in the next 7 days and things relating to those events. You must wait to use the Power again until you've finished a full recovery or when you use it again you have a 25% chance of failure (roll D100, 25 and under being failure). Each time you use this Power this way the chance of failure increases by 25%.",Utility,15,4,,,,,,,,,,Power,false,false,false,
285,Commune with Divine,"Contact a divine being, it's servants, or another Powerful and knowledgeable being who is revered. The being must truthfully answer one question to the best of it's knowledge using yes or no or a short answer if that isn't clear. You must wait to use the Power again until you've finished a full recovery or when you use it again you have a 25% chance of failure (roll D100, 25 and under being failure). Each time you use this Power this way the chance of failure increases by 25%.",Utility,17,4,+4 EN for each additional question you may ask this way to a maximum of 3.,4,1,,,,,,,Power,false,false,false,
286,Commune with Nature,"You commune with the natural world around you gathering information from plants and animals which grant you knowledge about the surrounding 100 meters of landscape, including bodies of water, settlements, ruins, common wildlife, uncommon creatures in the area, and so on.",Utility,15,4, +2.5 EN for each additional 100 meters.,2.5,1,,,,,,,Power,false,false,false,
287,Contact Other Realm,"You contact a knowledgeable entity from another realm. The being must truthfully answer one question to the best of it's knowledge using yes or no or a short answer if that isn't clear. You must wait to use the Power again until you've finished a full recovery or when you use it again you have a 25% chance of failure (roll D100, 25 and under being failure). Each time you use this Power this way the chance of failure increases by 25%.",Utility,20,4,+2 EN for each additional question you may ask this way to a maximum of 3. ,2,1,,,,,,,Power,false,false,false,
288,Legend Knowledge,"Name or describe a well-known figure, location, or artifact. You gain concise recounting of key lore associated with the chosen entity. The lore shared may include noteworthy facts, humorous insights, or even hidden knowledge unknown to most. The precision of the information received aligns with your prior knowledge: the more you know the richer and more specific the lore. While the information is truthful, it may be veiled in metaphor or conveyed through poetic language. If the chosen figure, location, or artifact is not widely recognized this Power has no effect.",Utility,23,4,,,,,,,,,,Power,false,false,false,
289,True Telepathy,"You link your mind with a willing creature with which you are familiar with who is on the same realm as you. You and the target can share between each other words, images, sensory information, and so on without any action cost. The Power ends if you aren't in the same realm. Lasts 24 hours.",Utility,30,4,,,,,,,,,,Power,false,false,false,
290,Foresight,Target gains +2 on all attempts to overcome actively or passively until the next Partial Recovery.,Utility,48,22,,,,,,,,,,Power,false,false,false,
291,Noisy,This Power can be heard from anywhere within 30 meters.,Utility,-0.5,1,-1 EN for each additional 30 meters to a maximum of 150 meters.,-1,1,,,,,,,Power,false,false,false,
292,Disintegrate,If this Power would kill a creature it is turned to dust instead. If it would damage an object it turns any fractured portions into dust.,Offense,12,2,,,,,,,,,,Power,false,false,false,
293,Passage,"A passage appears on a visible surface made of wood, plaster, stone, or other building material (such as a wall, ceiling, or floor) within range and lasts for the duration. You determine the dimensions of the opening: up to 5 feet wide, 8 feet tall, and 20 feet deep. The passage does not cause instability in the surrounding structure. When the passage vanishes, any creatures or objects remaining within it are safely ejected to the nearest unoccupied space adjacent to the surface of where it was.",Creation,15,4,,,,,,,,,,Power,false,false,false,
294,Magic Damage,Add +1d4 magic damage to the Power. Targets evasion by default.,Damage,3,2,1 EN for each additional 1d2 magic damage.,1,0.5,,,,,,,Power,true,false,false,
295,Light Damage,Add +1d4 light damage to the Power. Targets fortitude by default.,Damage,3,2,1 EN for each additional +1d2 light damage.,1,0.5,,,,,,,Power,true,false,false,
296,Physical Damage,"Add +1d4 physical damage type to your Power (Piercing, Slashing, or Bludgeoning). Targets evasion.",Damage,3,2,1 EN for each additional +1d2 damage of this type.,1,0.5,,,,,,,Power,true,false,false,
297,Elemental Damage,"Add +1d4 elemental damage type to your Power (Fire, Ice, Lightning, or Acid). Targets evasion.",Damage,3,2,1 EN for each additional +1d2 damage of this type.,1,0.5,,,,,,,Power,true,false,false,
298,Poison or Necrotic Damage,Add +1d4 Poison or Necrotic damage targeting fortitude.,Damage,3.5,2,1 EN per each additional +1d2 damage of that type.,1,0.5,,,,,,,Power,true,false,false,
299,Sonic Damage,Add +1d4 Sonic damage targeting fortitude.,Damage,4.5,2,1.5 EN per each additional +1d2 sonic damage.,1.5,0.5,,,,,,,Power,true,false,false,
300,Spiritual Damage,Add +1d4 Spiritual damage targeting resolve.,Damage,4.5,2,1.5 EN per each additional +1d2 spiritual damage.,1.5,0.5,,,,,,,Power,true,false,false,
301,Psychic Damage,Add +1d4 Psychic damage targeting mental fortitude.,Damage,5.5,2, 1.5 EN per each additional +1d2 psychic damage.,1.5,0.5,,,,,,,Power,true,false,false,
302,Duration Ends On Activation,"-50% EN from the cost of duration if the power duration ends once it first takes effect (it can be used once as normal during the duration, but ends immediately upon activation.)",Duration,0.5,0,,,,,,,,,,Power,true,false,true,
303,No Harm or Adaptation for Duration,-50% EN from the cost of duration if the power has no offensive utility or adaptation parts.,Duration,0.5,0,,,,,,,,,,Power,true,false,true,
304,Focus for Duration,"-50% EN from the cost of duration, must spend Focus for the duration of the Power, or the Power ends.",Duration,0.5,0,,,,,,,,,,Power,true,false,true,
305,Sustain for Duration,"-25% EN from the cost of duration, must spend 1 Action Point before the end of your turn or the duration ends.",Duration,0.75,0,-12.5% EN additional from the cost of duration for each additional Action Point required to be spend before the end of your turn or the duration ends.,-0.125,0,,,,,,,Power,true,false,true,
306,Duration (Permanent),2500% EN This power's duration is permanent and doesn't end unless countered.,Duration,25,0,,,,,,,,,,Power,true,false,true,
307,Heal,Heal target for 1d2.,Adaptation,2,2,+1.25 EN for each additional 1d2 healed.,1.25,1,,,,,,,Power,false,false,false,
308,True Heal,Heal target for 1.,Adaptation,2,2,+1.5 EN for each additional 1 healed.,1.5,1,,,,,,,Power,false,false,false,
309,Overheal,"Heal target for 1d2. This healing can exceed the target’s health maximum. The health maximum doesn't increase, but allows the creature to have additional Health until they lose them. Health maximum resets after any recovery.",Adaptation,2,2,+1.5 EN for each additional 1d2.,1.5,1,,,,,,,Power,false,false,false,
310,True Overheal,"Heal target for 1. This healing can exceed the target’s health maximum. The health maximum doesn't increase, but allows the creature to have additional Health until they lose them. Health maximum resets after any recovery.",Adaptation,2,2,+1.75 EN for each additional 1 healed.,1.75,1,,,,,,,Power,false,false,false,
311,Major Heal,Heal target for 25 Health.,Adaptation,22,9,#ERROR!,5,1,,,,,,,Power,false,false,false,
312,Massive Heal,Target heals for 80 Health. +5 EN for each additional 15 Health.,Adaptation,37,22,#ERROR!,5,1,,,,,,,Power,false,false,false,
313,Healing Boost,Target creature regains the maximum number of Health possible whenever it receives any healing stating on the turn after this.,Adaptation,6,2,,,,,,,,,,Power,false,false,false,
314,Death Defying,When in the dying condition the target's dying damage die size never increases.,Adaptation,1.5,2,,,,,,,,,,Power,false,false,false,
315,Terminal Recovery,Target creature in the dying condition heals 1 Health.,Adaptation,1.5,2, +1.5 EN for each additional Health healed.,1.5,1,,,,,,,Power,false,false,false,
316,Stabilize,"Target creature that is in the dying condition returns to 0 Health and is stabilized, though still in the dying condition.",Adaptation,9,4,,,,,,,,,,Power,false,false,false,
317,Regenerate,"Target creature's chosen body part regenerates over the next 24 hour period. During this time it cannot be used. If the creature dies before the body part has regenerated this Power ends leaving the limb partially regenerated, unless the target is already dead.",Adaptation,42,4,,,,,,,,,,Power,false,false,false,
318,Revive,"Restore a dead target to 1 Health, as long as it died within the last round and has all vital body parts. You must decide how many rounds when creating the Power. Revived targets are at 0 Health and stable.",Adaptation,15,4,+1.5 EN per each additional round the target has been dead.,1.5,1,,,,,,,Power,false,false,false,
319,Restore to Life,"Restore a dead target to 1 Health, as long as it died within the last day and has all vital body parts. Target loses all conditions it had before death. The target raised to life gains one level of exhaustion for every day the target was dead to a maximum exhaustion of 5 from this Power.",Adaptation,23,9,+4 EN per each additional day the target has been dead.,4,1,,,,,,,Power,false,false,false,
320,Form Life,"Cause a part of a dead target and form a new body of a random species to which you have access, as long as the target died within the last day. They replace all species traits on their character sheet with the new species, including flaws, ancestries, and characteristics chosen at random. Roll 1d4, and on odd results, add a flaw and additional ancestry; otherwise, do not add a flaw. The creature retains all feats, Powers, Techniques, and knowledge, even if these do not work with their new species/size. This Power part takes 1 hour to use.",Adaptation,23,9,+4 EN for each additional day the target has been dead.,4,1,,,,,,,Power,false,false,false,
321,Become Wind,"Target becomes a gaseous form, appearing as wisps of cloud. While in this cloud form, a target has a Fly Speed of 60 spaces and can hover. It is Immune to the Prone condition and has Resistance to Bludgeoning, Piercing, and Slashing damage. The only things target can take in this form is Dash or spend a basic action to begin reverting to its normal form. Reverting takes 1 minute, during which the target has the Stunned 3 condition which does not decay. Until the Power ends, the target can revert to cloud form, which also requires a basic action followed by a 1-minute transformation. If a target is in gaseous form and flying when the effect ends, the target descends 12 spaces per round for 1 minute until it lands safely. If it can't land after 1 minute, it falls the remaining distance.",Control,20,4,,,,,,,,,,Power,false,false,false,
322,Manipulate Earth,"Choose an area of terrain no larger than 4 spaces on a side within range. You can reshape dirt, sand, or clay in the area in any manner you choose for the duration. You can raise or lower the area’s elevation, create or fill in a trench, erect or flatten a wall, or form a pillar. The extent of any such changes can’t exceed half the area’s largest dimension. For example, if you affect an 4-space square, you can create a pillar up to 2 spaces high, raise or lower the square’s elevation by up to 2 spaces, dig a trench up to 2 spaces deep, and so on. It takes 10 minutes for these changes to complete. Because the terrain’s transformation occurs gradually, creatures in the area cannot usually be trapped or injured by the ground’s movement. At the end of every 10 minutes of this Power's duration, you can choose a new area of terrain to affect within range. This Power can’t manipulate natural stone or stone construction. Rocks and structures shift to accommodate the new terrain. If the way you shape the terrain would make a structure unstable, it might collapse. Similarly, this Power doesn't directly affect plant growth. The moved earth carries any plants along with it.",Control,11,2,#ERROR!,7,1,#ERROR!,7,1,,,,Power,false,false,false,
323,Knock Prone,Knock target prone. Target's the target's choice of might or reflex.,Control,4,2,,,,,,,,,,Power,false,false,false,
324,Controlling Summon,"Summon or create an unseen hand, creature, or other spector that can manipulate the world in small ways. This summon can move up to 6 spaces away from you, disappearing if it moves any further. This summon can manipulate the world in small ways, taking only interact and movement actions, and only able to hold up to 5 kilograms of mass. It has 1 Health, 3 speed. The summon lasts for 1 minute.",Control,6,2, +1 EN for each additional 2 spaces this summon can move away from you.,1,1,,,,,,,Power,false,false,false,
325,Escape,Target is released from any mundane restraints and cannot be grappled. If the target is already grappled it is no longer grappled.,Control,4,2,,,,,,,,,,Power,false,false,false,
326,Create Difficult Terrain,The area affected by the Power is considered difficult terrain to creatures on the ground.,Control,3,2,+2.5 EN to cause difficult terrain to apply to the air as well.,2.5,1,,,,,,,Power,false,false,false,
327,Immune to Difficult Terrain,You aren't affected by difficult terrain and can move as normal.,Control,2.5,2,,,,,,,,,,Power,false,false,false,
328,Scaled Slowing,"Decrease target's Speed by 1/2. Target's the target's choice of Might, Evasion, or Reflex.",Control,7,2,"+4 EN to decrease it to 1/4 of its total instead, to a minimum of 1 MS.",4,1,,,,,,,Power,false,false,false,
329,Slow,"Target gains the Slowed 1 condition. Target's Might, Evasion, or Reflex",Control,2,2,+2.5 EN for each additional level of the Slowed condition.,2.5,1,,,,,,,Power,false,false,false,
330,Unlock,"Unlock one minor, uncomplex lock (e.g., simple boxes, wooden doors, DS 10 or below).",Control,3,2,"+6 EN for small, slightly harder locks (e.g., wooden chests, safer doors, etc., DS 15 or below).",6,0,"+10 EN for hard, more complex locks (e.g., metal doors, stronger chests, complex boxes, etc., DS 20 or below).",10,0,Increase DS for an additional +5 after increasing to DS 20 first.,4,2,Power,false,false,false,
331,Lock,"Lock something that can be locked such as a door, chest, window, and so on. The DS for this lock is equal to your potency and lasts until unlocked.",Control,9,2,,,,,,,,,,Power,false,false,false,
332,Teleport,"Teleport target to a location that you can see. If the target is an enemy, the target's Might is tested; on success, the target is teleported to a safe location without immediate danger.",Control,4,4,+1 EN Increase teleport range by 3 spaces.,1,1,"+11 EN allows enemy teleportation to any location, dangerous or not, within the base range.",11,1,,,,Power,false,false,false,
333,Multi-Teleport,"Teleport target to a location that you can see within half of the Power's base range. If the target is an enemy, this target's Might; on success, the target can only be teleported to a safe location without immediate danger.",Control,7,2,4 EN for each time you cause the target to teleport this way as part of the same action this Power required to use.,4,0,"+15 EN allows enemy teleportation to any location, dangerous or not, within the base range.",15,1,,,,Power,false,false,false,
334,Advanced Teleport,"Teleport to a location that you can or cannot see within the range of this Power by describing exactly where you'd like to appear such as '10 spaces north and 2 spaces upwards' or simply by teleporting to a seen location instead. If you accidentally teleport into a location that is completely occupied you take 4d10 irreducible damage and appear at the closest unoccupied space instead, having the RM choose if they're equal distance.",Control,11,2,1.5 EN to teleport double the base range of this Power instead.,1.5,1,,,,,,,Power,false,false,false,
335,Long Distance Teleport,"Teleport to a location that you have been to that is within 300 kilometers. +11 EN again to remove a distance limitation. If this Power is used to teleport target from the same two locations 10 times within a month, then the effects of the Power are permanent and allow any creature that the Power user dedicates to teleport between the locations without energy cost.",Control,26,9,+11 EN to increase this to 800 kilometers.,11,0,+22 EN instead to remove a distance limitation. ,22,1,,,,Power,false,false,false,
336,Swap,"Switch places with an object or creature within range that weighs less than you. Swapping requires a roll to hit the object's evasion or the target's Might. If swapping with a moving object, the object continues moving in the same direction after the swap, traveling the remaining distance it would have gone.",Control,6,2,,,,,,,,,,Power,false,false,false,
337,Knockback,"Knock the target back 1 space (in the opposite direction of the hit). The amount knocked back decreases by 1 for each size above medium a creature or object is, or increases by 1 for each size below medium. Targets Might. This movement is stopped by objects, walls, and so on.",Control,4,2,+2.5 EN for each additional space the target is knocked back.,2.5,0,,,,,,,Power,false,false,false,
338,Propel,"Willing target moves 1 space in any direction (chosen when by user, changeable by target each subsequent turn if the Power lasts multiple rounds). This movement is stopped by objects, walls, and so on.",Control,2,2,+1 EN for each additional space the target is moved.,1,0,,,,,,,Power,false,false,false,
339,Daze,Target becomes dazed for the Power's duration. Targets Fortitude.,Control,4,2,,,,,,,,,,Power,false,false,false,
340,Restrained,Target becomes restrained. Targets Might.,Control,6,2,,,,,,,,,,Power,false,false,false,
341,Stun,Target becomes stunned (level 1). Targets Fortitude.,Control,7,2,+9 EN for each additional level of stunned.,9,1,,,,,,,Power,false,false,false,
342,Grapple,Target becomes grappled by you if they are within 1 space of you. Target chooses between Reflex or Might.,Control,12,2,,,,,,,,,,Power,false,false,false,
343,Control,"Control a physical object that weighs up to 200 kgs within range and sight. The object can be levitated, thrown, or moved. It can only be moved as far as the Power's range. Thrown objects do 1d2 damage upon hit and can be thrown to a range equal to the Power's base range. If an object is already a weapon that can be thrown, it deals thrown weapon damage. Targets Might or Reflex.",Control,3,2,+1.5 EN +1 TP for an additional 200 kgs of weight levitated.,1.5,2,+1.5 EN +1 TP per additional object levitated (weight ability to lift is split between all objects).,1.5,2,,,,Power,false,false,false,
344,Suspend,"Suspend a target object or creature you hit in its current position within range (e.g., in the air, on the ground, etc.). The object remains suspended for the round. You can release the suspension as a quick reaction or action; it then continues on its original path. If you suspend a ranged attack or object, its Evasion is equal to the roll-to-hit of the target throwing or shooting that object. If you suspend a creature, it becomes immobile for the duration of the Power; Targets their choice of Might or Reflex.",Control,6,2,+2.5 EN +1 TP for each additional round suspended.,2.5,2,,,,,,,Power,false,false,false,
