id,name,description,req_desc,ability_req,abil_req_val,skill_req,skill_req_val,feat_cat_req,pow_abil_req,mart_abil_req,pow_prof_req,mart_prof_req,speed_req,feat_lvl,lvl_req,uses_per_rec,rec_period,category,ability,tags,char_feat,state_feat
393,Mark of Bane,"Once per turn, when you attack a creature that is affected by a power you used, you may deal damage to another creature within 6 spaces of that creature equal to your power bonus.",,,,,,,,,,,,1,,,,Offensive,,"Power,Damage,",false,false
394,Marked,"When you make an attack roll against a creature that is currently affected by a power you used, you gain +2 to the attack roll.",,,,,,,,,,,,1,,,,Offensive,,"Power,Attack Roll Increase,",false,false
395,Martial Power Combination,"Immediately after using an innate power, you may make a weapon attack as a quick action. This still incurs the multiple action penalty as normal unless done with a weapon that has the ""interchangeable"" property, in which case the attack is treated as an off-hand dual-wielding attack.",,,,,,,,1,1,,,1,,,,Power,,"Powered Martial,Innate Power,Weapon Attack,",false,false
396,Mask of the Wilds,"When obscured by foliage or natural terrain, you have one level of obscurity higher.",,,,,,,,,,,,1,,,,Utility,,Obscured,true,false
397,Massive Heal,"As a basic action, you may divide 25 Health and heal all creatures of your choice within 6 spaces for amounts equal to your choosing.",,,,,,,,,,,,1,,1,Full,Support,,"Basic Action,Heal,Ally,",false,false
398,Massive Heal II,"As a basic action, you may divide 50 Health and heal all creatures of your choice within 6 spaces for amounts equal to your choosing.",,,,,,,,,,,,2,4,1,Full,Support,,"Basic Action,Heal,Ally,",false,false
399,Master of Death,"When you would gain the dying condition, you may spend 1/2 of the remainder of your Energy and go to 1 Health instead.",Energy maximum of at least 30,,,,,,,,,,,1,,2,Full,Utility,,"Dying Condition,Energy Cost,",false,false
400,Method Acting,Your ability to assume different personas and convincingly portray characters grants you a +2 bonus to Deceive or Act rolls when disguising yourself or assuming a role that is not your own.,,,,,,,,,,,,1,,,,Utility,,"Deceive,Disguise",true,false
401,Master of Disguise,"You may spend 1 minute to disguise yourself in a way that makes you look almost identical to a creature of similar bodily makeup to you and of your same size. A creature can roll Discernment to see through your disguise against your Act or Perform score if they suspect you. The suspect you if their Discernment score is equal to or above your Act or Perform Score, or for another reason.",,,,,,,,,,,,1,,,,Utility,,Disguise,true,false
402,Master Poisoner,"When you deal poison damage to a creature, that damage ignores any resistance to poison. Once per turn, when you deal poison damage to a creature, it also applies Weakened 1 for one round.",,,,,,,,,,,,1,,,,Offensive,,"Poison Damage,Weakened,",false,false
403,Mighty,"While in this state, you gain +2 to your Might and Strength skill rolls.",,Strength,1,,,,,,,,,1,,,,Utility,Strength/Might,"State,Might Bonus,Strength Skill,",true,true
404,Mimic,"Can mimic any sound heard exactly, including voices. When using Act and mimicing a sound or voice you consider rolls one Success higher.",,,,Act,,,,,,,,1,,,,Utility,,Mimicry,true,false
405,Mind Palace,"You may take 10 additional minutes before making any Intelligence skill roll if you have the time provided and relative silence. After this time, treat the roll as one Success higher.",,,,,,,,,,,,1,,,,Utility,Intelligence,Intelligence Skill,true,false
406,Mind Rend,"When you deal psychic damage to a creature and achieve a critical hit, the creature must roll Mental Fortitude or become Stunned 2 for one minute using your Potency.",,,,,,,,,,,,1,,,,Offensive,,"Psychic Damage,Critical Hit,Stunned,",false,false
407,Mind Scrivener,"You may choose one power in your power list totaling no more than 1/8 of your Energy. You may cast this power as if innate and increase the damage by up to +1d8. For a non-damage power part, you may add power parts with a total cost below 9 Energy (including increases) to the power.",,,,,,,,,,,,1,,1,Full,Utility,,"Power,Innate,Damage Increase,Power Part Modification",false,false
408,Mind Smite,"When you hit a creature with a martial attack, you may add 1d8 psychic damage to the attack as a free action.",,,,,,,,,,,,1,6,3,Partial,Offensive,,"Martial Attack,Psychic Damage,",false,false
409,Mindless State,"You have immunity to the Charmed and Frightened conditions while in this state. If you're Charmed or Frightened when you activate your state feat, the condition ends on you.",,,,,,state,,,,,,1,,,,Utility,,"State,Charm Immunity,Frighten Immunity,",false,true
411,Miraculous Luck,"When you fail a d20 roll, you may treat it as a natural 20 instead.",,,,,,,,,,,,1,,1,Partial,Utility,,Luck,false,false
412,Mis-Haggle Mitigation,"When rolling the Haggle skill treat any failure as one degree less, and partial failure as partial success.",,,,,,,,,,,,1,,,,,,,true,false
413,Mobile Attacker,"When attacking more than once in one turn, you may move 2 spaces. You may take this movement as part of a subsequent attack.",,,,,,,,,,,6,1,,,,Movement,Agility,"Speed Increase,Attacking Triggered,",false,false
414,Mobile Evasion,"When wearing no armor and wielding no shield, gain +1 to your Evasion.",,Agility,3,,,,,,,,,1,,,,Defensive,,Evasion Increase,false,false
415,Momentum,"When you take the Move action for the second time in a turn and move your entire movement in one direction, you regain 1 Action Point.",,,,,,,,,,,,1,,2,Partial,Movement,Agility,"Action Point Gain,Move Action,",false,false
416,Momentum Teleportation,"When you make more than one martial attack in a round, you may teleport 6 spaces to a location that you can see immediately after the second attack.",,,,,,,,,,,,1,,,,Movement,,"Martial Attack,Teleport,",false,false
417,Monk Accuracy,"When you would miss an attack with a monk weapon, you may spend an free action to re-roll the attack roll, using the result.",Monk Weaponry Feat,,,,,,,,,,,1,,,,Offensive,,"Monk Weapon,Action Point Cost,Re-Roll,",false,false
418,Monk Weapon Defense,"If you make an unarmed prowess attack not with a monk weapon but while holding a monk weapon, you gain +1 to your Evasion for one round. This effect cannot stack.",Monk Weaponry Feat,,,,,,,,,,,1,,,,Defensive,,"Unarmed Prowess,Evasion Increase,",false,false
419,Monk Weaponry,"Choose weapon(s) whose proficiency cost is a total of 12 Training Points or less, with no one above 4. Each weapon you are proficient with this way counts as unarmed prowess for the sake of applying to feats. You may choose ranged weapons.","Weapons must be one-handed and have at least two weapon properties between Finesse, Quick, Thrown, Versatile, or Interchangeable.",,,,,,,,,,,1,,,,Offensive,,"Monk Weapon,Unarmed Prowess,",false,false
420,Motivation,"When using a technique that targets one creature and the attack misses, you recover 1/4 of the Energy spent.",,,,,,,,,,,,1,,,,Utility,,"Technique,Energy Recovery,",false,false
421,Motivation II,"When using a technique that targets one creature and the attack misses, you recover 1/2 of the Energy spent.",,,,,,,,,,,,2,4,,,Utility,,"Technique,Energy Recovery,",false,false
422,Motivational Fighter,"When you achieve a Critical Hit, two creatures of your choice that can see you gain 1 Action Point.",,,,,,,,,,,,1,,,,Utility,,"Action Point,Critical Hit,Ally,",false,false
423,Mounted Concentration,Decrease Energy cost of powers by 3 when on a mount (minimum of 2 Energy).,,,,,,,,,,,,1,,,,Utility,,"Power,Energy Cost Reduction,Mount,",false,false
424,Mounted Precision,Increase Acuity by +1 while on a mount.,,,,,,,,,,,,1,,,,Utility,,"Acuity Bonus,Mount,",false,false
425,Mounted Warrior,Increase all damage dealt by 1d4 while on a mount.,,,,,,,,,,,,1,,,,Offensive,,"Damage Bonus,Mount,",false,false
426,Mounted Warrior II,Increase all damage dealt by 1d6 while on a mount.,,,,,,,,,,,,2,4,,,Offensive,,"Mount, Damage Bonus",false,false
427,Multi-Attack,"When you make a martial attack with a basic action, you may immediately make another martial attack with a quick action. This cannot be a technique or power attack, and does not inflict the multiple action penalty. After doing so, you cannot make attacks until the beginning of your next turn.",,,,,,,,,,,,1,,,,Offensive,,"Martial Attack,Quick Action,Unarmed Prowess,",false,false
428,Multi-Attack II,"When you make a martial attack with a basic action, you may immediately make another martial attack with a quick action. This can be unarmed prowess and does not inflict the multiple action penalty. After doing so, you cannot make attacks until the beginning of your next turn.",,,,,,,,,,,,2,4,,,Offensive,,"Martial Attack,Quick Action,Unarmed Prowess,",false,false
429,Multi-Attack III,"When you make a martial attack with a basic action or as part of a technique with a basic or quick action, you may immediately make another martial attack with a quick action. This can be unarmed prowess and does not inflict the multiple action penalty.",,,,,,,,,,,,3,6,,,Offensive,,"Martial Attack,Quick Action,Unarmed Prowess,",false,false
430,Multiattack Defense,You gain 2 Evasion for each additional time you are attacked this turn.,,,,,,,,,,,,1,,,,Defensive,,Evasion,false,false
431,Multitasker,"When you take the interaction action, you may take it again once for free on the same turn. These actions may be taken separately from each other and between other actions.",,,,,,,,,,,,1,,,,Utility,,Interaction,false,false
432,Must've Been the Wind,"When you attack with a finesse weapon while Hidden, you may reduce the damage of that attack by 1d6 (to a minimum of 0) to give -5 to all Detect reactions taken in response, even if you miss. You must end your turn Heavily or Completely Obscured for this effect to occur.",Proficiency with Finesse property,Agility,2,stealth,,,,,,,,1,,,,Offensive,,"Finesse Weapon,Stealth,Hidden,",false,false
410,Must've Been the Wind II,"When you attack with a finesse weapon while Hidden, you may reduce the damage of that attack by 1d6 (to a minimum of 0) to give -8 to all Detect reactions taken in response, even if you miss. You must end your turn Heavily or Completely Obscured for this effect to occur.",Proficiency with Finesse property,Agility,2,stealth,,,,,,,,2,6,,,Offensive,,"Finesse Weapon,Stealth,Hidden,",false,false
433,Nature's Protection,"You gain resistance to poison damage and one other elemental damage type of your choice between fire, ice, and lightning.",,,,,,,,,,,,1,,,,Defensive,,"Damage Resistance,Poison Damage,Elemental Damage,",false,false
434,Nimble,You can move through difficult terrain requiring only 1 space of Movement Speed for every other space in rough terrain (starting at the first).,,Agility,4,,,,,,,,,1,,,,Movement,Agility,Difficult Terrain,true,false
436,Nimble II,You can move through difficult terrain without spending additional spaces of movement.,,Agility,5,,,,,,,,,2,4,,,Movement,Agility,Difficult Terrain,true,false
438,Noxious Potency,Increase your potency when applying the Weakened effect by +1.,,,,,,,,,,,,1,,,,Utility,,"Power,Weakened,Potency Increase,",false,false
439,Noxious Potency II,Increase your potency when applying the Weakened effect by +2.,,,,,,,,,,,,2,4,,,Utility,,"Power,Weakened,Potency Increase,",false,false
440,Off-Guard,"After you achieve a critical hit, your target gains a -2 to all defenses and defense rolls for one round.",,,,,,,,,,,,1,,,,Offensive,,"Critical Hit,Defense Debuff,",false,false
441,Omen,"Make a 1d4 roll at the end of a full recovery. On even, you may use a free reaction to add 1d8 to an ally's d20 roll or defense if they can see or hear you. On odd, you may use a free reaction to decrease a creature's d20 roll or defense by 1d8. You may use the effect related to the outcome a number of times equal to this feat's uses.",,,,,,,,,,,,1,,3,Full,Support,,"Full Recovery,Ally,",false,false
442,One Focus,Choose one power that requires focus. You can no longer lose focus while mainting focus with that power.,,,,,,,,,,,,1,,,,Utility,,"Power,Focus,",false,false
443,One Heart One Mind,"After a Full Recovery, choose a Companion. All of your senses are connected to them, and theirs to yours. You can sense what they sense, and they can sense what you sense.",,,,,,,,,,,,1,,,,Summoning,,"Summon,Bond,Senses,",false,false
444,One Man Army,Increase all abilities by +1 when no ally is within 12 spaces of you.,,,,,,,,,,,,1,,,,Ability Increase,All,Solo,false,false
445,One Step Ahead,"After completing a full recovery, roll a d20 and record the result. You may replace any future d20 roll with the recorded result. You must choose to do this before knowing the result of the roll, in order to replace it.",,Intelligence,3,,,intelligence,,,,,,1,,1,Full,Utility,Intelligence,,false,false
446,One Warrior,When mounted you or your mount's Evasion increases to be equal to the higher Evasion between the two of you.,,,,,,,,,,,,1,,,,Defensive,,"Evasion,Mount,",false,false
447,Opportunist,"When an enemy within your Melee Range is hit by an attack, you may use a Basic Reaction to attack that creature with a basic action attack.",,,,,,,,,,,,1,,,,Offensive,,"Reaction,Melee Attack,",false,false
448,Opportunistic Grapple,"When you achieve a critical hit and have a free hand, you may attempt to grapple the target as part of that same action with no multiple action penalty.",,,,,,,,,,,,1,,,,Offensive,,"Critical Hit,Grapple,Free Action,",false,false
449,Opportunistic Pickpocket,When a creature makes an Attack against you while within 1 space you may use a quick reaction and an interaction to either lift one of their belongings or plant an object on their person using a successful Pickpocket skill roll against their Discernment,,,,Pickpocket,,,,,,,,1,,,,Utility,Agility,"Pickpocket, skill",true,false
450,Opportunistic Repositioning,"When you use a use of any other feat, you may move up to 1/2 of your speed for free.",,,,,,,,,,,,1,,,,Movement,Agility,"Speed Increase,Feat Uses,",false,false
451,Overextend,"You may choose to gain 1 action point as a free action or free reaction, but the next time you regain action points, you gain one less.",,,,,,,,,,,,1,,,,Utility,,Action Point,false,false
452,Overextend II,"You may choose to gain 1-2 action points as a free action or free reaction, but the next time you regain a corresponding amount less.",,,,,,,,,,,,2,4,,,Utility,,Action Point,false,false
453,Overpower,"When you use a power that deals damage with dice, you may have half of those dice deal maximum damage instead.",,,,,,,,,,,,1,,1,Full,Offensive,,"Power,Damage,",false,false
454,Overpower II,"When you use a power that deals damage with dice, you may have all of those dice deal maximum damage instead.",,,,,,,,,,,,2,4,1,Full,Offensive,,"Power,Damage,",false,false
435,Overpower III,"When you use a power that deals damage with dice, you may have all of those dice deal maximum damage instead.",,,,,,,,,,,,3,6,2,Partial,Offensive,,"Power,Damage,",false,false
455,Overprepared,"Choose one feat, whenever you roll initiative you regain half the uses of that feat, rounded down. You may choose a different feat each partial recovery.",,,,,,,,,,,,1,,1,Partial,Utility,,"Initiative,Feat Use,Partial Recovery,",true,false
456,Overwhelming Attack,"If a creature is hit with 2 or more attacks in the same turn, one or more being from you, you may make Strength or Agility attack roll with no MAP against its choice of Reflexes or Might to knock it Prone or back 3 spaces. Alternatively, you may make an attack roll against its Vitality to cause it to become Dazed for two rounds.",,,,,,,,,,2,,1,,,,Offensive,,"Multi-Attack,Prone,Dazed,Push",false,false
457,Pacifist,Receive double healing from all outside sources; all damage you deal is halved. Outside sources include healing as the result of other creatures or ingestion of healing consumables.,,Vitality,2,,,,,,,,,1,,,,Utility,,"Healing Increase,Damage Reduction,",false,false
458,Paired Minds,"As a quick action, you may choose a creature that you can see within 6 spaces. They can communicate telepathically with you, and you with them, for a number of minutes equal to your archetype ability, as long as you remain within a number of kilometers of each other equal to twice your archetype ability.",,,,,,,,,,,,1,,,,Utility,,Telepathy,true,false
459,Party Scout,"When rolling Initiative, you may choose to give another creature that can see or hear you +5 on their Initiative roll. If that creature would become surprised this encounter, they do not instead.",,,,,,,,,,,,1,,,,Support,,"Initiative,Support",false,false
460,Passive Intimidation,"Increase your Intimidate Score by your Strength or Vitality. When interacting with you for the first time a creature who can see you must first roll Resolve against this Score, becoming intimidated on a failure. (in a way as interpreted by a Realm Master)","Strength or Vitality of at least 1,",,,,,,,,,,,1,,,,Utility,"Strength, Vitality","Intimidation,Aggressive,Defensive,",true,false
461,Peerless Athlete,You may use a basic action to increase your jump distances by 2 spaces and increase all Strength Skill rolls by +2 for one hour.,,,,,,,,,,,,1,,2,Partial,Utility,Strength,"Jump,Strength Skill,Basic Action,",true,false
462,Peerless Skill,"When you fail a skill or ability roll, you may roll 1d8 and add the result to the roll, potentially changing the outcome. If you still fail, you do not spend a use of this feat.",,,,,,,,,,,,1,14,2,Partial,Utility,,"Skill Roll,Ability Roll",true,false
463,Penny Weaponry,"You may craft weapons at 25% of the regular material cost, but which break after dealing five times their maximum dice roll in damage (eg., 1d4 weapon breaks after dealing 20 damage). You may craft these weapons using the Glassblowing skill and tools.",Proficiency in the Glassblowing or Smithing sub-skill,,,,,,,,,,,1,,,,Utility,"Strength, Vitality","Craft,Skill",true,false
464,People Reader,Add your Acuity to Insight rolls.,,"Acuity, Charisma","2, 0",,,,,,,,,1,,,,Utility,Acuity,Insight,true,false
465,Personal Best,"You may increase your Strength by 1 for a round, but you gain 1 level of exhaustion when doing so. At the start of your turn, you may choose to maintain this for another round, but gain an additional level of exhaustion each time you do.",,,,,,,,,,,,1,,,,Ability Increase,Strength,Exhaustion,false,false
437,Personal Best II,"You may increase your Strength by 1 or 2 for a round, but you gain an equal level of exhaustion when doing so. At the start of your turn, you may choose to maintain this for another round, but gain a corresponding level of exhaustion each time you do.",,,,,,,,,,,,2,4,,,Ability Increase,Strength,Exhaustion,false,false
776,Personal Best III,"You may increase your Strength by 2 for a round, but you gain 1 level of exhaustion when doing so. At the start of your turn, you may choose to maintain this for another round, but gain an additional level of exhaustion each time you do.",,,,,,,,,,,,3,6,,,Ability Increase,Strength,Exhaustion,false,false
466,Phase Step,"Once per turn, as a quick action, you may teleport 6 spaces to a location that you can see.",,,,,,,,,,,,1,,,,Movement,,"Teleport,Quick Action,",false,false
467,Phase Step II,"Once per turn, as a quick action, you may teleport 12 spaces to a location that you can see.",,,,,,,,,,,,2,4,,,Movement,,"Teleport,Quick Action,",false,false
468,Phase Step III,"As a quick action, you and a willing ally within 2 spaces may choose a location within 12 spaces that you can see; you and your ally teleport to or within 1 space of that location.",,,,,,,,,,,,3,6,,,Movement,,"Teleport,Ally,Quick Action,",false,false
469,Pinnacle of Light,"As a basic action, you activate this state and emit bright light in a 12-space radius and dim light for an additional 12 spaces. When you use a power that deals light, spiritual, or fire damage, you gain +2 to attack rolls with and the potency of that power.",,,,,,,,,,,,1,,,,Utility,,"State,Light,",false,true
470,Plan Your Next Move,"As a quick action, you may add your Intelligence to your Evasion for one round. You cannot be wearing armor or wielding a shield or weapon with a Strength requirement.",,,,,,,,,,,,1,,2,Partial,Defensive,Intelligence,"Evasion Increase,Quick Action,Unarmored,",false,false
777,Plan Your Next Move II,"As a free action, you may add your Intelligence to your Evasion for one round. You cannot be wearing armor or wielding a shield or weapon with a Strength requirement.",,,,,,,,,,,,2,,3,Partial,Defensive,Intelligence,"Evasion Increase,Quick Action,Unarmored,",false,false
471,Playing it Safe,"When you make a skill roll, you may choose to treat any result as no worse than one failure and no better than one success, even if it the result would be. You must choose to do this before making the roll.",,,,,,,,,,,,1,,3,Partial,Utility,,Skill Roll,true,false
472,Pocket Sand,"Once per turn, when you attack with a finesse weapon or unarmed prowess in melee range, you may reduce the damage of that attack by 2d6 (to a minimum of 0) to cause the target of the attack to make a Fortitude roll against your Martial Potency, becoming Blind on a failure for one minute.",,,,,,,,,,,,1,,,,Offensive,,"Finesse Weapon,Blind,Melee,",false,false
473,Point Blank Shot,Ignore the penalties of attacking targets in your Melee Range with ranged attacks.,,,,,,,,,,,,1,,,,Offensive,,"Ranged Attack,Melee,",false,false
474,Point Blank Shot II,Increase attack rolls and damage by +2 when attacking targets in your Melee Range with ranged attacks. Ignore the penalties of attacking targets in your Melee Range with ranged attacks.,,,,,,,,,,,,2,4,,,Ability Increase,,"Ranged Attack,Melee,Attack Increase,",false,false
475,Poisoned Strike,"When you make a martial attack or use a technique that causes the enemy to become Weakened, you may also cause the enemy to take 1d6 poison damage.",,,,,,,,,,,,1,,,,Offensive,,"Martial Attack,Technique,Poison Damage,Weakened",false,false
476,Poisoner,You may apply a consumable to a weapon without an action once each turn.,,,,,,,,,,,,1,,,,Utility,,"Brew,Weapon,Free Action,",false,false
477,Poisoning Attack,"Once per turn, when you attack with a non-bludgeoning weapon, you may reduce the damage of that attack by 3d6 (to a minimum of 0) to cause the target of the attack to make a Fortitude roll against your Potency, gaining Weakness 2 for two rounds on a failure. If it was a ranged or Finesse weapon, reduce it by 1d6 instead.",,,,,,,,,,,,1,,,,Offensive,,"Finesse Weapon,Weakness,",false,false
478,Potent Aura,"When you use a power to target creatures within 2 spaces of you, you gain +3 to effect that creature with any roll or potency that is part of that power.",,,,,,,,,,,,1,,,,Support,,"State,Power,Potency Bonus,",false,true
479,Power Mastery,You may choose one power that costs no more than 1/8 of your total Energy; you may cast this power as if innate. You may change which power this is during a Partial Recovery.,,,,,,,,,,,,1,,,,Utility,,"Power,Innate,",false,false
480,Power Mastery II,You may choose two powers that each cost no more than 1/8 of your total Energy; you may cast these powers as if innate. You may change which powers one or both of these are during a Partial Recovery.,,,,,,,,,,,,2,4,,,Utility,,"Power,Innate,",false,false
481,Power Phase,"When you use a non-innate power, you may teleport to a space you can see within 6 spaces without using an action.",,,,,,,,,,,,1,,,,Utility,,"Power,Teleport,",false,false
483,Power Phase II,"When you use a non-innate power, you may teleport to a space you can see within 12 spaces without using an action.",,,,,,,,,,,,2,4,,,Utility,,"Power,Teleport,",false,false
482,Empowered Techniques II,Reduce the Energy cost of Empowered Techniques by 4 to a minimum of 1.,,,,,,,,,,,,2,4,,,Power,,"Powered Martial,Power,Technique,",false,false
484,Power Resistant,"When you try to overcome a power's effect using a defense, that defense increases by +1. In addition, any damage you take from powers is reduced by 2.",,,,,,,,,,,,1,,,,Defensive,,"Power,Defense Increase,Damage Reduction,",false,false
485,Power Resistant II,"When you try to overcome a power's effect using a defense, that defense increases by +2. In addition, any damage you take from powers is reduced by 4.",,,,,,,,,,,,2,4,,,Defensive,,"Power,Defense Increase,Damage Reduction,",false,false
486,Power Thief,"When you see a creature use a power that targets you, you may use a quick reaction to roll Arcane or other relevant skill against that creature's Resolve. On a success, you learn what each of the power parts of that power are and may temporarily add it to your power list until you take a full recovery. You are considered proficient with each of the power parts during this time.",,,,,,,,,,,,1,,,,Utility,,"Quick Reaction,Power,Power Acquisition,",true,false
487,Power Type Focus,Choose one category of power part. Decrease the energy cost of every power that uses parts of this category by -2 Energy to a minimum of 1.,,,,,,,,,2,,,1,,,,Utility,,"Power,Energy Cost Reduction,",false,false
488,Power Type Focus II,Decrease the energy cost of every power that uses a part from the chosen power category by -4 Energy to a minimum of 1.,,,,,,,,,3,,,2,4,,,Utility,,"Power,Energy Cost Reduction,",false,false
489,Powerful Divine Magic,"When you use a power that deals spiritual or necrotic damage, you may add your power ability to the damage dealt (if any) once each round.",,,,,,,,,,,,1,,,,Offensive,,"Power,Spiritual Damage,Necrotic Damage,Damage Increase",false,false
490,Precision to Power,"When you make an attack with a weapon, you may choose to take a -5 penalty on the attack roll but increase the damage dealt by 10. You must make this choice before rolling to attack.",,,,,,,,,,,,1,,,,Offensive,,"Melee Weapon,Attack Penalty,Damage Increase,",false,false
491,Predatory Focus,Increase your Acuity by +1 for each terminal enemy on the battlefield. (Maximum of +3),,Acuity,2,,,,,,,,,1,,,,Ability Increase,Acuity,"Terminal,Enemy Count,",false,false
492,Predictive Dodging,Increase Evasion by +1.,,"Acuity, Agility","3, 0",,,,,,,,,1,,,,Defensive,Acuity,Evasion Increase,false,false
493,Predictive Dodging II,Increase Evasion by +2.,,"Acuity, Agility","3, 1",,,,,,,,,2,4,,,Defensive,Acuity,Evasion Increase,false,false
494,Predictive Dodging III,Increase Evasion by your Acuity.,,"Acuity, Agility","5, 3",,,,,,,,,3,14,,,Defensive,Acuity,Evasion Increase,false,false
495,Prepared Strike,"Decrease the critical range of your attacks against a target by 1 for each round the target has remained in the same location, to a maximum decrease of 3.",,,,,,,,,,,,1,,,,Offensive,,Critical Range,false,false
496,Preserve Life,"As a basic action, you may Heal an amount equal to your level multiplied by four divded how you choose among terminal creatures within 6 spaces of you, including yourself.",,,,,,,,,,,,1,,2,Partial,Support,,"Basic Action,Heal,Terminal,Ally",false,false
497,Primal Power,"When you make a melee power attack roll, you may add your Strength ability to the attack roll.",A power ability that is not strength.,,,,,,,,,,,1,,,,Offensive,,"Power,Melee,Strength,Attack Roll Increase",false,false
498,Primal Shift,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 1/2 and it cannot fly. When you do so, you overheal for an amount equal to 1/2 your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. You cannot use powers while in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it.",,,,,,,,,,,,1,,2,Full,Utility,,"Shapeshift,Overheal,",false,false
499,Primal Shift II,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 3/4 and it cannot fly. When you do so, you overheal for an amount equal to your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. You cannot use powers while in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it.",,,,,,,,,,,,2,4,2,Full,Utility,,"Shapeshift,Overheal,",false,false
500,Primal Shift III,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 1. When you do so, you overheal for an amount equal to your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. You cannot use powers while in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it.",,,,,,,,,,,,3,6,2,Full,Utility,,Shapeshift,false,false
501,Primal Shift IV,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 2. When you do so, you overheal for an amount equal to your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. You cannot use powers while in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it.",,,,,,,,,,,,4,8,3,Full,Utility,,Shapeshift,false,false
502,Primal Shift V,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 3. When you do so, you overheal for an amount equal to your twice your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. You cannot use powers while in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it.",,,,,,,,,,,,5,10,3,Full,Utility,,"Shapeshift,Overheal,",false,false
503,Primal Shift VI,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 3. When you do so, you overheal for an amount equal to three times your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. You can only use powers that have healing effects or area-of-effect damage effects and cost no more than 1/4th of your energy to use. While in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it.",,,,,,,,,,,,6,12,3,Full,Utility,,"Shapeshift,Overheal,Power Use,",false,false
504,Primal Shift VII,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 4. When you do so, you overheal for an amount equal to three times your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. While in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it.",,,,,,,,,,,,7,14,4,Full,Utility,,"Shapeshift,Power Use,",false,false
505,Primal Shift VIII,"As a quick action, you may assume the form of an animal or beast that you have encountered before, as long as its level is no more than 4. When you do so, you overheal for an amount equal to three times your level, temporarily gain the feats and skills of the animal (taking the higher of any duplicates), and replace your physical abilities/defenses, Acuity/Discernment, movement speed, and Evasion with the creature's. You can choose to drop or cause to shift with you all items on your person when you shift. You may choose to keep a weapon your animal form could wield without difficulty. While in this form and can only use techniques that make sense for your form's structure. While in this form, you maintain your mind and personality and ability to communicate. The form persists for a number of hours equal to 1/4th your level or until you choose to end it. You regain a use of primal shift whenever you roll initative.",,,,,,,,,,,,8,16,4,Full,Utility,,"Shapeshift,Initiative,",false,false
